epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.811,1.17453,0.87631,1.19051,0.97271,0.93029,0.98133,0.64736,1.17786,0.54048,1.2286,0.000665359,0.000665359,0.000665359
2,219.927,1.18542,0.60072,1.2062,0.9763,0.97174,0.99147,0.65884,1.18643,0.54037,1.23775,0.00126609,0.00126609,0.00126609
3,328.286,1.1656,0.57009,1.1894,0.9592,0.9011,0.97294,0.64018,1.18134,0.58526,1.22401,0.00180082,0.00180082,0.00180082
4,436.433,1.13195,0.53936,1.17109,0.97828,0.9722,0.98615,0.693,1.11066,0.55193,1.17758,0.001703,0.001703,0.001703
5,544.534,1.12765,0.52033,1.16959,0.9872,0.98695,0.99223,0.69545,1.09652,0.41904,1.17278,0.001604,0.001604,0.001604
6,652.624,1.11294,0.49534,1.15642,0.99199,0.99484,0.99327,0.72946,1.06561,0.39882,1.14709,0.001505,0.001505,0.001505
7,760.65,1.08683,0.47223,1.14203,0.99298,0.99401,0.99359,0.74471,1.05725,0.38459,1.14459,0.001406,0.001406,0.001406
8,868.669,1.07811,0.46616,1.13646,0.99246,0.99649,0.99383,0.73906,1.04728,0.37709,1.13558,0.001307,0.001307,0.001307
9,976.533,1.0593,0.44986,1.13141,0.99523,0.99649,0.99379,0.74142,1.0411,0.3809,1.13067,0.001208,0.001208,0.001208
10,1084.54,1.05484,0.44085,1.13137,0.99362,0.99699,0.99358,0.74751,1.045,0.35802,1.12951,0.001109,0.001109,0.001109
11,1192.83,1.03093,0.39908,1.14114,0.99102,0.99772,0.99366,0.74829,1.05653,0.36975,1.13249,0.00101,0.00101,0.00101
12,1300.48,1.01877,0.38968,1.13444,0.99303,0.99699,0.99386,0.76108,1.02558,0.35965,1.11771,0.000911,0.000911,0.000911
13,1408.07,1.00748,0.37669,1.12979,0.99449,0.99639,0.99367,0.76087,1.02229,0.35855,1.12242,0.000812,0.000812,0.000812
14,1515.62,0.99504,0.36773,1.12098,0.9945,0.99787,0.99386,0.76557,1.0117,0.34892,1.11294,0.000713,0.000713,0.000713
15,1623.28,0.98945,0.3659,1.11599,0.99297,0.9995,0.99416,0.76904,1.00825,0.33371,1.10167,0.000614,0.000614,0.000614
16,1730.89,0.97661,0.35149,1.10713,0.99489,0.99799,0.99426,0.77056,1.00742,0.33391,1.10642,0.000515,0.000515,0.000515
17,1838.53,0.96652,0.34528,1.1044,0.99376,0.99849,0.99391,0.7745,1.00303,0.32864,1.09993,0.000416,0.000416,0.000416
18,1946.06,0.95662,0.33691,1.09567,0.99339,0.99849,0.99424,0.77756,0.9952,0.32354,1.09879,0.000317,0.000317,0.000317
19,2053.62,0.94702,0.32729,1.08951,0.99436,0.99849,0.99396,0.7806,0.98524,0.31534,1.08867,0.000218,0.000218,0.000218
20,2161.2,0.9359,0.31812,1.08386,0.99441,0.99849,0.99414,0.7843,0.98092,0.30924,1.08507,0.000119,0.000119,0.000119
