epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.127,1.17453,0.87631,1.19051,0.97271,0.93029,0.98133,0.64736,1.17786,0.54048,1.2286,0.000665359,0.000665359,0.000665359
2,219.658,1.18766,0.60601,1.21152,0.97588,0.95452,0.98723,0.65126,1.1753,0.54309,1.2352,0.00129906,0.00129906,0.00129906
3,327.659,1.17388,0.57849,1.19911,0.97147,0.97424,0.99142,0.68033,1.12574,0.49051,1.20146,0.00189976,0.00189976,0.00189976
4,435.483,1.14135,0.54531,1.18514,0.98537,0.98074,0.99144,0.70633,1.09591,0.44126,1.176,0.0018515,0.0018515,0.0018515
5,543.208,1.13218,0.52486,1.17473,0.98097,0.98319,0.99261,0.70281,1.12123,0.43971,1.19051,0.001802,0.001802,0.001802
6,650.837,1.11824,0.50868,1.17168,0.99151,0.99646,0.99317,0.72843,1.10924,0.40184,1.17386,0.0017525,0.0017525,0.0017525
7,758.454,1.09682,0.49001,1.15251,0.98094,0.98194,0.99319,0.7147,1.0657,0.41665,1.15147,0.001703,0.001703,0.001703
8,866.07,1.08986,0.47886,1.14642,0.98903,0.9959,0.9938,0.73826,1.06113,0.38732,1.14006,0.0016535,0.0016535,0.0016535
9,973.745,1.0725,0.46323,1.13751,0.99061,0.99398,0.99299,0.7402,1.06336,0.39047,1.14291,0.001604,0.001604,0.001604
10,1081.5,1.06645,0.4568,1.14109,0.993,0.99727,0.99387,0.74822,1.0435,0.36948,1.13621,0.0015545,0.0015545,0.0015545
11,1189.16,1.05235,0.44929,1.1227,0.99497,0.99322,0.99392,0.74136,1.0421,0.37486,1.13586,0.001505,0.001505,0.001505
12,1296.75,1.04847,0.44768,1.12554,0.99353,0.99699,0.9934,0.74508,1.04474,0.36329,1.12965,0.0014555,0.0014555,0.0014555
13,1404.4,1.03422,0.43429,1.12388,0.99499,0.9967,0.99404,0.74967,1.02783,0.35558,1.12149,0.001406,0.001406,0.001406
14,1512.07,1.04372,0.43135,1.11882,0.99449,0.99689,0.99349,0.75186,1.0368,0.37258,1.12365,0.0013565,0.0013565,0.0013565
15,1619.79,1.03079,0.4234,1.11165,0.9927,0.99699,0.99361,0.7517,1.03061,0.35176,1.12183,0.001307,0.001307,0.001307
16,1727.4,1.02225,0.42104,1.11039,0.99301,0.99778,0.99382,0.76397,1.02362,0.34623,1.10865,0.0012575,0.0012575,0.0012575
17,1835.13,1.01681,0.41376,1.10426,0.99424,0.999,0.99393,0.76578,1.01135,0.3414,1.10584,0.001208,0.001208,0.001208
18,1942.82,1.01486,0.41285,1.10941,0.99373,0.99799,0.99378,0.76644,1.01235,0.33559,1.1094,0.0011585,0.0011585,0.0011585
19,2050.51,1.001,0.40529,1.09937,0.9945,0.99795,0.99384,0.75677,1.0191,0.34209,1.11189,0.001109,0.001109,0.001109
20,2158.13,1.00461,0.40206,1.09917,0.99351,0.99891,0.99379,0.76895,1.0021,0.33135,1.10047,0.0010595,0.0010595,0.0010595
21,2265.75,0.99898,0.40003,1.09502,0.99365,0.99749,0.99398,0.7614,1.00933,0.334,1.10129,0.00101,0.00101,0.00101
22,2373.35,1.00883,0.39924,1.09924,0.99434,0.999,0.99388,0.76396,1.0098,0.33175,1.11017,0.0009605,0.0009605,0.0009605
23,2480.88,0.99003,0.39298,1.09596,0.99372,0.99749,0.99351,0.76928,1.00366,0.33006,1.10569,0.000911,0.000911,0.000911
24,2588.58,0.98324,0.38703,1.09195,0.99347,0.99849,0.99351,0.77297,0.99427,0.32046,1.09413,0.0008615,0.0008615,0.0008615
25,2696.23,0.98079,0.38343,1.08768,0.99595,0.99799,0.99391,0.76521,0.99465,0.31971,1.09532,0.000812,0.000812,0.000812
26,2803.85,0.97609,0.38233,1.08534,0.99499,0.99786,0.99386,0.77196,0.9953,0.32088,1.09308,0.0007625,0.0007625,0.0007625
27,2911.53,0.97142,0.37832,1.08421,0.99449,0.99704,0.99387,0.77334,0.98464,0.31082,1.08792,0.000713,0.000713,0.000713
28,3019.16,0.97087,0.3773,1.07861,0.99442,0.99799,0.99378,0.77227,1.00155,0.32009,1.09317,0.0006635,0.0006635,0.0006635
29,3126.73,0.96787,0.37329,1.08042,0.99441,0.999,0.99399,0.77531,0.99439,0.3135,1.09327,0.000614,0.000614,0.000614
30,3234.41,0.9614,0.36864,1.07455,0.99475,0.99849,0.99408,0.77799,0.9869,0.30997,1.08865,0.0005645,0.0005645,0.0005645
31,3342.22,0.94876,0.33113,1.08907,0.99604,0.99799,0.9937,0.77918,0.98672,0.31357,1.08513,0.000515,0.000515,0.000515
32,3449.62,0.94168,0.32518,1.08477,0.99593,0.99799,0.99394,0.78081,0.98064,0.30973,1.08673,0.0004655,0.0004655,0.0004655
33,3556.97,0.93846,0.32154,1.08438,0.9959,0.99849,0.99406,0.78107,0.98511,0.31178,1.08715,0.000416,0.000416,0.000416
34,3664.41,0.93269,0.31723,1.08057,0.99593,0.99849,0.99397,0.78194,0.97721,0.30447,1.08455,0.0003665,0.0003665,0.0003665
35,3771.87,0.92538,0.31442,1.07881,0.99588,0.99799,0.9939,0.78397,0.97441,0.30433,1.08013,0.000317,0.000317,0.000317
36,3879.3,0.92248,0.3133,1.0744,0.9955,0.99889,0.99366,0.78465,0.97517,0.30319,1.08033,0.0002675,0.0002675,0.0002675
37,3986.7,0.9175,0.30816,1.07165,0.9955,0.99848,0.99387,0.7865,0.9751,0.30046,1.07919,0.000218,0.000218,0.000218
38,4094.11,0.91024,0.30293,1.06898,0.99613,0.99649,0.99402,0.78731,0.9747,0.29965,1.07814,0.0001685,0.0001685,0.0001685
39,4201.48,0.90841,0.30184,1.06695,0.9945,0.9988,0.99404,0.78538,0.973,0.29794,1.07772,0.000119,0.000119,0.000119
40,4308.78,0.90137,0.29527,1.0639,0.99507,0.999,0.99404,0.78708,0.9716,0.29409,1.07734,6.95e-05,6.95e-05,6.95e-05
